person_id,file_id,touches,recency_weight,first_seen,last_seen,sensitive_weight
145713155+CarlBarl@users.noreply.github.com,app/api/upload/route.test.ts,4,3.943304,2026-02-03T18:11:10+01:00,2026-02-10T11:13:30+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,app/api/upload/route.ts,7,6.878207,2026-02-03T18:11:10+01:00,2026-02-10T11:13:30+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,package-lock.json,8,7.845751,2026-02-03T18:11:10+01:00,2026-02-10T11:13:30+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,package.json,9,8.836376,2026-02-03T18:11:10+01:00,2026-02-10T11:13:30+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,components/auth/SignUpForm.tsx,2,1.974796,2026-02-03T19:29:24+01:00,2026-02-10T10:55:11+02:00,2.00
145713155+CarlBarl@users.noreply.github.com,app/dashboard/page.tsx,8,7.847063,2026-02-03T18:11:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,app/documents/[id]/page.tsx,4,3.931361,2026-02-03T21:42:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,app/jobs/[id]/page.tsx,5,4.904068,2026-02-03T18:11:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,app/jobs/page.tsx,3,2.945556,2026-02-03T18:11:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,app/letters/page.tsx,6,5.901669,2026-02-03T18:11:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,app/page.tsx,3,2.942988,2026-02-03T18:11:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,components/dashboard/BatchSkillsButton.tsx,2,1.971632,2026-02-04T15:50:50+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,components/dashboard/DashboardClient.tsx,4,3.924190,2026-02-03T21:44:00+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,components/dashboard/DashboardHeader.tsx,5,4.895531,2026-02-03T18:11:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,components/jobs/JobActions.tsx,4,3.930060,2026-02-03T18:11:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,components/jobs/JobCard.tsx,4,3.930082,2026-02-03T18:11:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,components/jobs/JobSearch.tsx,9,8.858590,2026-02-03T18:11:10+01:00,2026-02-08T19:11:42+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,.claude/settings.local.json,10,9.780350,2026-02-03T16:47:19+01:00,2026-02-08T19:05:57+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,AGENTS.md,4,3.944373,2026-02-03T16:47:19+01:00,2026-02-08T19:05:57+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,docs/FEATURE-IDEAS.md,2,1.978114,2026-02-06T10:06:47+02:00,2026-02-08T19:05:57+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,messages/en.json,12,11.764369,2026-02-03T18:35:37+01:00,2026-02-08T19:05:57+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,messages/sv.json,12,11.764369,2026-02-03T18:35:37+01:00,2026-02-08T19:05:57+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,app/api/generate/route.ts,5,4.905484,2026-02-03T18:11:10+01:00,2026-02-08T18:55:54+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,app/api/documents/[id]/route.test.ts,4,3.921369,2026-02-03T18:11:10+01:00,2026-02-08T18:41:25+02:00,0.00
145713155+CarlBarl@users.noreply.github.com,app/api/documents/[id]/route.ts,6,5.889132,2026-02-03T18:11:10+01:00,2026-02-08T18:41:25+02:00,0.00
